etudiant_id,age,genre,niveau_etudes,nb_connexions_semaine,temps_etude_hebdo,exercices_completes_pct,videos_vues_pct,participation_forums,nb_devoirs_rendus,revenu_famille,score_motivation,nombre_absences,acces_internet,note_mi_parcours,note_finale,reussite
257,24,M,L1,7.4,11.5,76.6,53.1,5,4,Élevé,8.3,2,Stable,13.34,18.19,1
258,20,F,M1,5.5,7.5,63.4,48.6,6,6,Moyen,8.5,2,Instable,12.1,8.53,0
259,21,F,L2,8.3,10.5,85.6,81.9,8,8,Bas,5.5,3,Limité,15.12,7.85,0
260,17,M,L2,6.8,18.1,70.3,77.8,5,7,Moyen,2.7,5,Stable,12.34,5.75,0
261,20,F,L2,12.4,8.0,84.0,64.1,6,8,Moyen,5.3,2,Stable,13.4,13.62,1
262,20,M,L2,9.5,5.0,84.5,54.6,5,7,Moyen,7.5,1,Stable,11.93,7.85,0
263,23,F,L3,4.1,16.7,93.8,56.4,3,9,Bas,6.4,5,Limité,16.7,16.85,1
264,19,F,M1,10.0,14.5,69.1,86.1,3,8,Moyen,6.8,3,Stable,12.7,8.72,0
265,24,M,M1,5.7,8.9,64.3,59.1,8,8,Moyen,5.6,4,Stable,9.94,0.38,0
266,27,F,L2,6.3,4.1,78.1,78.3,7,8,Élevé,8.3,6,Limité,11.02,13.68,1
267,22,M,L2,8.9,8.3,76.3,62.3,5,8,Moyen,7.1,1,Limité,13.0,14.19,1
268,23,F,L2,6.5,11.7,91.3,46.8,7,9,Bas,7.6,2,Stable,16.21,14.91,1
269,22,F,L2,10.7,17.8,48.9,60.4,3,5,Moyen,6.8,1,Stable,12.97,11.32,1
270,22,M,L2,5.7,6.8,83.2,41.5,6,10,Bas,7.4,1,Instable,11.47,16.98,1
271,18,M,L3,6.1,11.6,68.5,61.0,4,10,Élevé,7.3,3,Instable,8.13,10.26,1
272,23,M,L2,6.0,15.4,37.0,76.9,6,8,Moyen,4.8,3,Stable,7.96,11.14,1
273,21,M,L2,6.3,0.1,72.8,80.2,6,7,Bas,7.2,2,Stable,7.69,3.07,0
274,32,M,L2,11.3,17.2,74.6,77.0,6,9,Moyen,7.9,2,Stable,12.83,14.73,1
275,29,M,L2,9.9,6.1,70.4,36.9,2,7,Bas,8.6,1,Stable,11.7,12.64,1
276,23,M,L1,13.1,13.7,28.1,53.0,7,7,Bas,7.2,6,Stable,6.9,2.14,0
277,18,M,L1,14.8,13.2,43.4,28.3,3,9,Moyen,4.8,4,Instable,9.22,6.5,0
278,17,F,L3,4.9,17.4,82.9,85.0,5,4,Moyen,5.0,6,Stable,13.63,9.27,0
279,27,F,L2,8.2,14.8,78.0,50.0,6,8,Élevé,5.7,4,Stable,15.2,15.44,1
280,23,F,L1,4.5,0.1,92.3,72.3,1,7,Moyen,6.8,1,Instable,9.04,2.1,0
281,24,M,L2,5.7,8.1,65.8,65.4,7,9,Bas,6.3,3,Stable,10.96,11.39,1
282,17,F,L3,6.1,12.7,60.3,71.2,5,7,Moyen,4.5,4,Stable,11.41,10.21,1
283,26,F,L1,4.8,11.0,84.2,61.6,5,6,Moyen,4.5,3,Limité,13.94,11.01,1
284,24,M,M1,4.8,14.4,66.9,75.2,6,9,Bas,2.7,5,Stable,13.19,11.95,1
285,17,M,M1,7.6,15.9,88.1,71.4,5,9,Élevé,1.0,3,Limité,14.21,10.97,1
286,19,F,L2,4.3,15.0,80.8,56.6,5,8,Élevé,6.3,2,Stable,11.5,9.11,0
287,23,M,L3,10.5,10.9,55.5,46.6,5,10,Bas,10.0,2,Stable,10.61,13.37,1
288,22,M,L1,5.2,2.8,52.9,67.0,10,4,Moyen,9.7,4,Instable,7.55,7.08,0
289,20,F,M1,16.4,9.7,83.7,80.4,7,7,Moyen,4.7,1,Stable,12.84,10.35,1
290,21,M,L2,6.6,14.1,37.1,55.7,5,7,Bas,6.8,1,Stable,9.33,6.62,0
291,20,M,M1,8.2,6.5,32.3,68.5,7,5,Moyen,3.9,4,Stable,8.36,2.86,0
292,22,F,L2,4.1,15.2,89.6,38.1,2,6,Bas,4.1,3,Stable,14.47,10.75,1
293,29,F,L1,13.1,16.5,69.0,67.8,5,6,Bas,4.3,2,Stable,12.04,17.78,1
294,17,M,L1,11.4,12.6,65.4,51.8,6,8,Élevé,6.1,4,Instable,10.96,10.74,1
295,20,F,L3,8.9,0.0,49.5,94.4,3,8,Moyen,6.2,5,Stable,8.72,4.13,0
296,22,F,L2,4.0,5.6,67.6,38.3,4,8,Bas,7.0,5,Stable,10.31,3.11,0
297,23,F,L1,8.6,21.4,94.0,83.6,6,8,Moyen,7.7,2,Stable,19.05,20.0,1
298,20,F,L3,4.6,9.3,59.1,38.7,9,8,Élevé,5.9,2,Stable,8.71,4.6,0
299,17,M,M1,12.4,2.1,96.6,76.7,3,9,Moyen,6.6,0,Stable,10.09,7.31,0
300,23,M,L2,10.4,18.2,80.0,73.8,4,8,Élevé,4.5,1,Stable,14.05,18.05,1
301,30,F,L2,8.3,12.1,65.9,71.0,2,8,Élevé,4.1,3,Instable,11.74,11.4,1
302,17,M,L1,1.0,17.5,64.9,74.4,8,8,Moyen,3.8,4,Stable,12.84,1.1,0
303,26,F,L3,5.0,13.4,58.0,40.2,8,9,Moyen,7.7,2,Stable,11.07,10.28,1
304,20,F,L2,10.1,14.3,90.4,69.1,2,8,Moyen,5.9,5,Instable,13.53,12.95,1
305,21,M,M1,11.6,13.8,68.4,31.4,7,8,Moyen,3.1,1,Stable,11.27,8.85,0
306,17,F,L2,11.3,15.5,76.6,48.4,7,7,Moyen,6.4,2,Stable,13.62,14.44,1
307,20,M,L2,3.2,23.4,69.6,54.3,5,7,Bas,4.3,7,Instable,16.81,7.36,0
308,28,F,L1,8.9,16.9,82.0,80.7,6,9,Bas,9.5,4,Instable,12.56,2.7,0
309,24,M,L1,11.0,4.1,77.9,55.2,4,10,Moyen,5.5,5,Stable,9.99,2.72,0
310,30,F,L3,3.0,14.2,56.9,38.2,3,8,Moyen,7.7,2,Stable,14.06,14.66,1
311,27,F,L2,8.0,17.7,65.9,56.7,1,9,Moyen,8.5,2,Stable,13.74,2.2,0
312,24,M,L2,8.8,18.0,62.4,92.1,11,8,Moyen,4.8,1,Stable,12.83,10.16,1
313,30,F,M2,7.1,9.9,75.5,51.8,5,5,Bas,6.6,6,Stable,12.65,1.68,0
314,24,F,M2,2.4,17.8,83.8,70.1,6,9,Bas,7.5,3,Instable,13.76,13.72,1
315,26,F,M1,7.0,16.6,45.2,93.2,8,8,Moyen,6.7,0,Instable,12.06,20.0,1
316,20,F,L1,7.0,24.9,81.1,97.8,4,7,Moyen,7.1,5,Limité,15.6,16.02,1
317,22,F,L2,7.6,8.2,83.3,84.6,1,8,Moyen,4.1,3,Stable,8.69,6.44,0
318,18,M,M1,6.3,9.5,63.5,94.6,5,10,Bas,7.5,5,Stable,10.18,11.91,1
319,26,M,L2,6.7,10.5,54.6,67.8,4,9,Moyen,5.6,3,Stable,8.26,6.73,0
320,17,M,L1,7.9,9.5,71.2,95.0,6,5,Élevé,7.1,3,Stable,11.26,9.21,0
321,25,F,M1,9.3,7.5,82.8,52.3,6,9,Bas,8.2,1,Stable,13.59,17.33,1
322,21,F,L2,7.1,0.0,77.2,89.0,4,7,Bas,7.7,3,Limité,11.28,10.45,1
323,27,M,L2,6.8,9.8,68.7,51.7,4,6,Moyen,7.1,2,Stable,11.48,11.55,1
324,25,M,M2,8.3,13.8,62.5,91.2,6,8,Moyen,7.7,1,Stable,13.98,14.22,1
325,31,F,L3,2.2,9.5,90.9,73.2,6,7,Élevé,7.7,0,Stable,13.97,13.25,1
326,25,M,L2,9.4,21.7,67.2,48.0,4,9,Élevé,9.2,7,Limité,14.27,17.92,1
327,17,F,L2,8.0,12.1,69.5,32.0,2,8,Moyen,6.4,2,Stable,9.25,7.39,0
328,21,M,L2,8.1,18.5,89.6,49.4,3,8,Bas,6.8,3,Instable,18.31,20.0,1
329,17,F,L1,10.9,13.3,60.0,85.0,5,4,Moyen,8.2,1,Instable,10.55,7.08,0
330,19,M,L3,2.1,16.1,63.1,59.2,5,9,Élevé,5.6,5,Stable,14.57,18.28,1
331,29,M,M1,2.1,13.4,60.7,40.5,7,9,Moyen,4.1,2,Instable,12.46,12.58,1
332,25,F,L1,8.8,18.8,34.3,80.8,6,5,Élevé,7.4,2,Stable,10.3,6.78,0
333,18,F,L2,8.0,12.3,81.1,92.1,7,9,Moyen,6.1,2,Stable,13.57,15.65,1
334,17,M,M1,8.5,14.5,77.9,50.8,5,6,Bas,4.3,4,Stable,16.34,11.42,1
335,22,M,L1,6.6,13.8,49.6,81.4,2,7,Moyen,7.4,2,Stable,13.54,13.22,1
336,17,F,L2,10.0,10.6,81.7,32.9,3,7,Moyen,9.1,4,Instable,11.79,9.16,0
337,18,F,L2,10.8,14.0,56.8,62.9,3,7,Bas,3.6,2,Instable,10.44,8.49,0
338,23,M,L3,9.5,23.2,88.1,64.7,2,7,Moyen,8.3,3,Stable,17.7,20.0,1
339,27,M,L1,7.2,10.6,50.1,61.5,4,9,Moyen,1.9,1,Stable,9.51,9.21,0
340,25,F,L3,1.7,14.1,82.4,25.4,2,3,Bas,5.8,2,Stable,15.61,9.62,0
341,17,F,L2,10.3,18.3,52.2,83.1,3,5,Moyen,9.8,3,Stable,14.22,10.88,1
342,23,F,L3,11.7,17.7,75.8,73.7,2,6,Moyen,5.9,5,Instable,11.56,11.94,1
343,22,F,L1,9.9,12.1,72.7,78.0,1,7,Moyen,6.7,1,Stable,13.26,14.85,1
344,24,M,L2,5.4,0.1,56.4,61.7,2,8,Moyen,7.9,4,Instable,6.47,0.29,0
345,30,F,L2,10.0,14.6,68.5,68.9,8,7,Élevé,3.4,1,Stable,12.84,18.48,1
346,17,F,L1,10.6,0.9,81.8,59.3,5,10,Élevé,6.6,5,Instable,9.14,8.99,0
347,19,F,L1,12.7,19.3,72.8,86.3,5,8,Moyen,6.6,1,Stable,16.89,16.1,1
348,24,M,L1,5.4,12.8,80.9,59.8,8,7,Bas,9.9,2,Stable,15.11,13.07,1
349,17,M,L2,7.3,17.0,66.8,90.8,5,7,Moyen,4.3,4,Instable,12.0,9.89,0
350,29,F,L1,10.2,7.5,72.2,74.0,3,8,Bas,5.8,4,Stable,10.29,6.68,0
351,23,M,M1,8.2,4.2,68.7,57.4,4,8,Élevé,4.8,4,Stable,8.17,9.64,0
352,26,F,L2,4.6,13.3,80.1,67.8,5,7,Moyen,4.6,4,Limité,10.4,12.67,1
353,19,M,M1,9.2,11.8,88.4,61.0,8,8,Moyen,8.5,4,Stable,13.29,13.19,1
354,26,F,M2,9.7,9.5,56.4,65.1,5,5,Moyen,6.5,1,Stable,13.1,14.52,1
355,27,F,L1,8.3,12.4,81.8,55.2,10,7,Moyen,5.5,6,Stable,9.97,10.87,1
356,23,M,L3,8.7,25.8,95.0,58.7,3,10,Élevé,5.6,7,Stable,18.1,18.42,1
357,23,M,M1,7.2,16.2,22.9,76.4,3,10,Bas,5.5,1,Instable,9.82,11.15,1
358,23,F,L3,12.4,17.2,63.2,68.1,6,7,Élevé,5.6,6,Instable,13.17,13.67,1
359,17,F,L2,5.3,16.2,60.4,72.0,11,8,Bas,4.2,2,Stable,11.18,12.46,1
360,21,M,L2,6.2,19.4,60.0,82.2,6,6,Moyen,6.0,5,Stable,11.3,7.31,0
361,21,F,L1,8.0,11.0,94.2,52.3,4,9,Élevé,5.9,6,Stable,11.01,6.23,0
362,23,F,L2,10.6,1.7,53.1,66.6,5,10,Moyen,5.1,4,Stable,8.75,3.52,0
363,26,M,M2,3.5,11.1,79.3,62.0,8,8,Bas,6.8,1,Instable,11.28,8.59,0
364,17,M,M2,4.1,16.1,56.7,28.2,3,7,Élevé,6.9,1,Stable,11.96,6.16,0
365,21,M,L1,1.9,7.2,67.6,53.2,5,5,Élevé,5.5,5,Instable,12.88,11.32,1
366,29,M,L3,8.1,11.1,66.4,66.8,4,6,Moyen,6.2,3,Stable,10.27,10.25,1
367,18,M,L2,4.6,8.5,83.6,90.3,4,8,Moyen,10.0,2,Instable,12.88,8.16,0
368,17,M,M1,6.8,19.5,72.7,48.8,3,6,Élevé,10.0,2,Stable,16.94,17.73,1
369,23,F,L1,10.0,15.7,76.6,30.1,7,9,Bas,4.6,3,Stable,15.16,13.28,1
370,26,M,M1,6.1,15.3,77.0,68.5,2,7,Moyen,4.9,4,Limité,11.41,10.9,1
371,22,F,M1,8.7,15.1,85.9,96.0,3,5,Moyen,4.6,3,Stable,13.1,8.11,0
372,28,M,L1,7.1,11.8,90.7,81.5,5,8,Bas,8.4,1,Stable,14.53,10.4,1
373,26,M,L1,10.0,13.0,84.6,56.3,3,5,Élevé,5.8,4,Instable,16.19,16.43,1
374,26,F,M1,9.4,6.1,65.6,58.0,6,9,Moyen,6.9,2,Limité,8.63,1.24,0
375,24,F,L1,5.9,1.1,81.3,56.2,6,9,Élevé,10.0,2,Stable,8.85,7.09,0
376,33,M,L2,7.5,12.8,84.0,76.3,6,8,Moyen,6.5,3,Limité,14.03,12.28,1
377,20,M,M1,11.1,13.6,79.0,84.9,1,6,Moyen,7.8,1,Stable,14.64,15.18,1
378,17,M,L2,9.2,18.0,61.1,75.6,7,8,Moyen,7.4,3,Limité,14.5,15.9,1
379,30,F,L2,3.8,19.9,88.2,97.7,5,6,Moyen,5.4,4,Stable,14.69,20.0,1
380,19,M,L2,10.0,19.8,71.9,63.8,3,9,Élevé,8.4,6,Stable,13.82,7.53,0
381,22,M,L1,4.7,7.0,86.8,85.5,2,7,Moyen,5.0,5,Stable,11.47,11.86,1
382,28,M,M2,12.2,10.2,58.6,67.9,5,7,Moyen,8.9,2,Instable,12.74,2.49,0
383,17,M,L2,11.1,14.4,76.9,57.4,6,9,Moyen,5.4,4,Limité,12.77,17.3,1
384,17,F,L1,8.9,24.7,87.2,59.0,1,7,Bas,5.6,3,Stable,17.7,10.83,1
385,17,F,L1,8.5,19.4,91.8,31.9,6,7,Bas,4.5,2,Stable,14.75,20.0,1
386,18,M,M2,7.4,17.6,75.6,39.9,7,8,Moyen,4.8,0,Stable,17.48,16.39,1
387,24,M,L1,10.0,10.1,89.0,79.8,2,9,Moyen,5.7,2,Stable,13.16,17.96,1
388,24,M,M1,6.9,7.6,87.1,87.9,11,9,Moyen,2.1,5,Instable,12.7,13.13,1
389,23,M,L3,8.7,15.9,92.4,55.9,4,5,Moyen,6.1,5,Stable,14.86,11.85,1
390,17,F,M1,10.6,6.5,75.0,50.4,9,7,Moyen,5.6,3,Limité,10.51,6.71,0
391,17,F,M2,6.3,10.8,66.3,70.5,1,6,Moyen,7.9,3,Limité,9.17,5.11,0
392,22,F,M1,6.2,11.4,58.1,27.2,3,7,Moyen,7.3,3,Stable,7.69,9.6,0
393,19,F,M1,4.4,20.0,68.9,36.4,10,6,Élevé,5.2,3,Stable,16.46,13.93,1
394,24,F,L1,4.8,10.2,72.7,65.3,7,9,Bas,5.7,4,Limité,11.47,6.18,0
395,25,F,L3,2.5,0.0,84.5,61.2,5,8,Moyen,6.1,5,Limité,8.93,6.83,0
396,22,M,L2,10.2,14.5,86.2,82.4,4,7,Bas,9.2,1,Instable,12.87,11.52,1
397,25,M,L2,13.4,8.5,76.1,75.0,2,9,Élevé,5.0,2,Stable,9.91,7.62,0
398,23,M,M1,12.3,12.2,88.9,69.0,3,9,Moyen,5.2,3,Stable,15.05,14.67,1
399,24,F,M2,3.1,11.6,45.1,74.7,6,7,Moyen,4.5,1,Instable,12.58,8.17,0
400,18,M,L3,10.2,10.6,80.9,75.0,8,6,Élevé,3.8,1,Stable,11.48,8.52,0
401,21,F,L2,12.3,16.0,89.9,75.3,6,7,Moyen,7.1,2,Instable,16.21,20.0,1
402,22,F,L2,6.6,4.3,36.1,60.6,5,10,Bas,6.9,4,Instable,6.77,2.64,0
403,26,F,L2,8.3,9.4,56.3,51.6,3,5,Moyen,8.8,5,Stable,9.74,6.05,0
404,20,M,L2,2.0,15.4,72.2,40.6,3,9,Bas,8.4,1,Stable,16.63,16.75,1
405,24,M,L2,8.8,8.9,87.6,80.9,1,9,Élevé,10.0,3,Stable,11.99,14.44,1
406,20,M,L1,4.8,4.0,97.8,56.7,6,5,Moyen,6.4,4,Limité,13.13,5.91,0
407,21,F,L1,8.6,15.3,77.5,64.1,4,7,Moyen,6.0,2,Stable,14.43,16.11,1
408,26,F,L3,3.3,17.6,80.5,74.7,8,5,Élevé,4.2,6,Stable,14.09,12.65,1
409,17,F,L2,9.6,11.8,89.2,76.0,7,6,Moyen,7.8,2,Limité,15.8,8.82,0
410,17,M,M1,11.1,2.2,83.4,83.5,9,7,Moyen,6.7,4,Instable,9.95,14.42,1
411,17,M,L3,5.7,15.5,66.0,63.2,5,8,Bas,7.7,1,Stable,13.18,20.0,1
412,17,M,L1,4.6,3.7,55.7,60.1,3,8,Moyen,4.4,4,Instable,9.66,1.98,0
413,18,F,L1,1.5,13.5,89.5,73.7,5,5,Élevé,7.1,2,Stable,16.17,11.46,1
414,25,F,L1,7.2,7.6,92.5,52.1,4,6,Élevé,6.9,1,Limité,14.4,14.61,1
415,20,M,M2,6.3,6.2,75.6,81.9,3,8,Moyen,6.8,1,Limité,4.92,0.0,0
416,22,F,L1,3.3,9.8,94.2,66.8,7,8,Bas,5.3,2,Stable,13.86,18.29,1
417,27,M,L2,9.4,11.1,97.4,57.1,6,8,Bas,8.6,5,Stable,14.11,11.54,1
418,28,F,M1,6.7,8.8,91.4,58.1,3,8,Élevé,10.0,2,Stable,13.04,20.0,1
419,21,M,M2,4.8,14.9,46.7,84.2,3,6,Bas,4.5,1,Instable,12.17,7.89,0
420,28,M,L1,6.3,9.8,92.4,50.0,6,10,Moyen,7.8,4,Instable,13.39,12.1,1
421,22,F,L1,11.2,16.9,52.6,26.4,7,8,Moyen,1.3,2,Stable,12.97,15.73,1
422,17,M,L1,9.8,13.4,53.7,66.7,6,5,Moyen,7.7,2,Limité,11.05,9.45,0
423,19,M,L1,7.6,8.5,87.4,70.7,3,7,Moyen,3.1,3,Stable,14.07,12.33,1
424,17,M,L1,9.9,7.7,63.0,74.1,5,8,Élevé,5.6,4,Instable,10.86,12.57,1
425,17,M,L2,4.5,3.8,64.1,46.8,7,8,Moyen,4.1,2,Instable,9.38,3.72,0
426,20,F,M1,8.1,13.5,84.2,38.3,1,9,Moyen,6.1,0,Stable,14.81,10.51,1
427,26,F,L2,8.4,10.2,38.8,58.2,9,9,Moyen,8.0,4,Stable,10.61,2.82,0
428,30,F,L3,6.6,0.1,90.8,24.2,7,9,Élevé,3.2,2,Instable,10.85,9.21,0
429,17,M,L1,9.3,9.3,90.6,45.2,5,9,Moyen,5.9,5,Instable,12.17,11.54,1
430,23,F,M1,5.7,7.5,96.6,87.6,3,9,Moyen,5.6,5,Stable,13.65,15.5,1
431,17,M,L3,9.5,19.9,88.9,80.7,5,8,Moyen,9.3,2,Instable,16.97,18.59,1
432,24,M,M1,9.7,3.5,84.5,86.4,6,10,Bas,7.3,3,Stable,13.14,5.78,0
433,21,M,M1,1.0,4.8,78.1,79.7,6,5,Bas,4.4,4,Stable,11.41,0.0,0
434,17,F,L2,11.6,17.5,55.9,45.6,7,9,Élevé,5.7,4,Instable,11.63,20.0,1
435,26,F,L1,1.0,18.8,66.5,85.9,6,8,Moyen,9.3,2,Stable,18.03,20.0,1
436,18,F,L1,6.2,8.3,94.5,67.5,7,6,Bas,7.8,5,Instable,9.34,8.38,0
437,19,M,L2,11.1,8.8,85.5,53.9,4,9,Bas,4.8,4,Instable,12.76,11.58,1
438,17,M,M1,7.0,15.1,91.5,81.2,4,8,Élevé,6.0,3,Stable,13.71,8.13,0
439,18,F,L2,3.6,0.4,80.2,69.5,3,6,Moyen,6.1,1,Stable,11.84,5.97,0
440,24,F,L3,4.7,2.7,72.5,60.2,4,7,Moyen,5.5,5,Stable,8.92,11.6,1
441,21,M,L2,11.1,10.6,80.3,70.3,7,9,Bas,3.4,3,Stable,10.83,11.71,1
442,23,M,L1,2.2,19.7,72.5,83.6,6,7,Élevé,5.3,5,Instable,14.08,10.01,1
443,23,M,L2,11.4,9.8,71.9,85.0,5,7,Élevé,9.0,2,Stable,10.71,6.29,0
444,28,F,L3,7.8,12.5,87.3,90.5,2,8,Moyen,5.8,2,Limité,13.18,11.17,1
445,20,M,L3,4.4,17.7,29.0,86.1,3,10,Moyen,6.3,3,Stable,10.2,8.44,0
446,17,F,L2,6.3,22.5,82.4,75.2,7,10,Moyen,6.8,4,Stable,15.42,20.0,1
447,27,M,L1,4.9,9.1,80.1,75.6,0,6,Élevé,10.0,6,Limité,12.1,9.71,0
448,20,F,L3,10.6,11.9,93.8,67.7,7,8,Moyen,6.5,1,Stable,14.76,10.62,1
449,27,M,L1,10.2,21.1,71.4,62.3,9,9,Élevé,8.5,1,Instable,14.3,16.93,1
450,23,M,M1,2.8,4.4,84.2,61.6,6,8,Moyen,5.4,2,Instable,8.03,7.13,0
451,21,M,L1,6.8,17.1,74.2,76.0,8,6,Moyen,6.0,1,Limité,14.84,10.37,1
452,23,M,L1,5.4,6.9,80.9,61.8,4,10,Moyen,6.5,3,Stable,11.88,11.88,1
453,31,F,L2,11.9,12.5,79.1,65.1,8,10,Élevé,5.1,2,Stable,14.01,18.43,1
454,32,M,L2,3.9,10.8,63.2,52.6,10,8,Bas,6.1,3,Limité,11.82,10.55,1
455,22,F,L2,12.8,7.2,45.7,78.3,6,7,Bas,8.1,3,Stable,10.9,5.95,0
456,22,M,L2,7.9,7.1,80.8,86.9,7,8,Moyen,5.1,3,Instable,12.5,8.31,0
457,27,M,M2,4.5,13.4,69.8,34.9,5,6,Moyen,6.5,5,Instable,16.19,6.83,0
458,17,F,L2,6.0,17.0,71.9,84.6,5,10,Élevé,7.8,5,Stable,18.38,17.31,1
459,23,M,L2,5.6,11.4,74.5,95.6,7,8,Bas,5.0,5,Instable,9.06,8.28,0
460,21,F,L2,4.2,12.4,89.5,72.6,7,8,Moyen,8.5,1,Limité,10.9,8.89,0
461,23,F,L1,8.3,14.9,89.5,42.7,5,8,Bas,6.6,3,Stable,14.57,20.0,1
462,17,F,L2,4.3,7.1,46.2,82.8,6,8,Moyen,6.2,3,Instable,9.11,9.76,0
463,17,M,L1,1.5,15.7,52.9,47.3,4,6,Moyen,2.9,1,Instable,11.75,2.86,0
464,17,M,L3,6.9,16.1,77.7,73.6,4,8,Moyen,5.8,2,Stable,15.19,8.25,0
465,17,F,L1,2.6,25.0,74.6,58.1,4,7,Moyen,7.2,1,Limité,16.88,15.4,1
466,19,M,M2,5.7,10.1,49.0,90.7,1,9,Bas,9.6,1,Stable,9.22,16.34,1
467,20,M,L2,5.3,9.7,82.4,53.4,10,7,Moyen,7.5,1,Stable,11.77,15.35,1
468,31,M,M1,5.4,15.8,79.8,55.3,9,8,Élevé,8.5,3,Limité,14.01,20.0,1
469,27,F,L2,14.0,16.1,88.0,49.0,2,7,Moyen,4.3,3,Limité,15.92,15.16,1
470,17,F,L1,8.2,9.3,85.4,69.5,7,9,Bas,6.3,6,Stable,11.09,7.87,0
471,23,F,M1,8.7,10.0,81.6,66.8,3,5,Moyen,8.7,2,Instable,12.16,7.2,0
472,19,F,L3,2.7,14.7,37.0,60.0,7,6,Bas,4.9,2,Stable,11.15,10.67,1
473,20,M,L3,6.0,7.9,92.4,71.9,4,6,Bas,8.2,0,Stable,12.68,12.6,1
474,22,F,L2,8.6,9.9,46.0,81.8,4,6,Bas,7.8,3,Stable,11.15,8.66,0
475,25,M,L3,4.9,12.4,65.1,55.5,9,9,Bas,7.0,4,Limité,10.27,15.53,1
476,20,F,M1,10.7,17.0,81.3,67.8,7,8,Bas,5.9,2,Stable,13.04,13.34,1
477,27,M,L3,4.4,9.0,82.8,76.3,5,8,Moyen,4.7,3,Stable,12.25,15.59,1
478,17,F,L2,7.1,2.8,50.6,79.6,3,6,Bas,9.7,1,Instable,8.45,1.07,0
479,22,M,L3,6.2,2.4,82.6,96.0,6,9,Moyen,7.6,6,Stable,8.01,15.8,1
480,34,M,L3,8.5,5.7,87.8,91.3,5,9,Élevé,7.1,4,Stable,13.14,9.89,0
481,23,M,M2,6.1,5.4,83.1,72.8,5,7,Moyen,5.8,3,Stable,13.56,13.85,1
482,29,M,L2,7.2,11.2,80.8,38.4,3,9,Moyen,6.6,5,Instable,11.35,12.96,1
483,22,M,L2,7.3,6.1,51.6,82.7,2,7,Moyen,6.8,3,Instable,10.72,6.23,0
484,24,F,M1,5.8,8.5,81.6,80.2,7,8,Bas,7.2,2,Instable,8.35,11.48,1
485,21,M,L2,9.5,8.1,78.3,45.0,6,7,Moyen,7.8,5,Stable,12.74,13.87,1
486,21,F,L3,8.7,9.8,94.8,85.9,6,6,Moyen,5.1,1,Stable,12.09,9.0,0
487,18,M,L2,7.7,18.6,59.8,55.8,9,7,Élevé,3.9,1,Instable,15.0,11.85,1
488,24,F,L1,6.7,15.3,72.8,69.2,2,9,Élevé,6.7,2,Stable,12.11,12.85,1
489,17,M,L3,10.4,12.1,75.6,60.3,3,10,Élevé,3.4,4,Stable,11.92,9.28,0
490,25,F,L1,7.3,9.7,69.5,60.7,11,10,Moyen,5.9,4,Stable,9.73,13.51,1
491,27,F,L1,7.1,9.8,95.2,58.3,2,9,Moyen,5.6,2,Stable,12.99,15.2,1
492,23,M,L3,8.3,13.6,81.7,67.6,7,7,Élevé,7.4,4,Stable,16.18,15.03,1
493,20,F,L3,13.1,14.9,73.8,79.4,7,8,Élevé,10.0,2,Limité,13.66,17.99,1
494,24,M,M1,4.0,7.5,64.9,87.1,5,9,Moyen,3.0,3,Stable,12.83,1.27,0
495,20,M,L1,10.3,12.2,90.1,80.8,6,9,Élevé,10.0,3,Instable,13.45,12.33,1
496,26,F,L1,2.3,1.8,76.3,66.3,10,5,Élevé,6.1,3,Stable,11.13,8.65,0
497,17,F,M2,8.7,13.1,58.4,43.1,5,9,Moyen,7.1,6,Instable,8.63,11.06,1
498,20,M,L1,12.7,15.8,83.1,64.1,3,8,Bas,4.0,2,Stable,13.85,14.44,1
499,17,M,L1,9.5,10.6,51.0,39.7,4,8,Bas,8.3,0,Limité,9.82,16.09,1
500,17,F,L1,8.5,21.1,84.4,73.4,3,10,Moyen,6.6,2,Stable,18.8,20.0,1
